2025-05-21T11:40:32.232626+00:00 lia-server mariadbd[15721]: 2025-05-21 11:40:32 80 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:40:42.562648+00:00 lia-server mariadbd[15721]: 2025-05-21 11:40:42 81 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:40:52.564589+00:00 lia-server mariadbd[15721]: 2025-05-21 11:40:52 82 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:02.571323+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:02 83 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:12.587445+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:12 84 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:22.596050+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:22 85 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:32.636914+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:32 86 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:42.650343+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:42 87 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:41:52.688499+00:00 lia-server mariadbd[15721]: 2025-05-21 11:41:52 88 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:06.360236+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:06 89 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:16.362250+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:16 90 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:26.431070+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:26 91 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:36.623752+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:36 92 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:46.675058+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:46 93 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:42:56.870074+00:00 lia-server mariadbd[15721]: 2025-05-21 11:42:56 94 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:43:06.918115+00:00 lia-server mariadbd[15721]: 2025-05-21 11:43:06 95 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:43:19.572629+00:00 lia-server mariadbd[15721]: 2025-05-21 11:43:19 96 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:43:31.596362+00:00 lia-server mariadbd[15721]: 2025-05-21 11:43:31 97 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:43:41.770683+00:00 lia-server mariadbd[15721]: 2025-05-21 11:43:41 98 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:43:51.773378+00:00 lia-server mariadbd[15721]: 2025-05-21 11:43:51 99 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:01.794744+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:01 100 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:11.811540+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:11 101 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:21.828070+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:21 102 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:31.851935+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:31 103 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:41.859219+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:41 104 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:44:51.866136+00:00 lia-server mariadbd[15721]: 2025-05-21 11:44:51 105 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:01.867364+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:01 106 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:13.010150+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:13 107 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:23.121410+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:23 108 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:33.126108+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:33 109 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:44.021372+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:44 110 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:45:54.025245+00:00 lia-server mariadbd[15721]: 2025-05-21 11:45:54 111 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:04.119856+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:04 112 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:14.509420+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:14 113 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:25.030163+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:25 114 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:35.055332+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:35 115 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:49.970765+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:49 116 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:46:59.981056+00:00 lia-server mariadbd[15721]: 2025-05-21 11:46:59 117 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:47:10.351992+00:00 lia-server mariadbd[15721]: 2025-05-21 11:47:10 118 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:47:20.713856+00:00 lia-server mariadbd[15721]: 2025-05-21 11:47:20 119 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:47:30.735361+00:00 lia-server mariadbd[15721]: 2025-05-21 11:47:30 120 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:47:41.669940+00:00 lia-server mariadbd[15721]: 2025-05-21 11:47:41 121 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:47:51.682625+00:00 lia-server mariadbd[15721]: 2025-05-21 11:47:51 122 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:48:02.291546+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:02 123 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:48:12.300450+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:12 124 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
